name,pressure_Pa_from_file2,propane_Henry_from_file2,|Qst(propane)|_from_file2,N2_1,N2_4,N2_18,N2_75,N2_316,N2_1334,N2_5623,N2_23714,N2_100000,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction,length_a,length_b,length_c,angle_alpha,angle_beta,angle_gamma
HETZOW_clean-(id_177273),4000000,0.00236324,34.74714692,148.053,152.743,154.803,155.42,156.326,157.159,159.919,161.86,165.749,0.473805,4.51102,38.3546,142.725,156.191,166.072,175.283,177.399,179.308,180.084,180.25,182.202,181.967,182.082,182.568,183.157,182.921,184.012,184.634,185.313,185.357,184.757,185.855,185.496,186.529,186.28,186.585,187.521,187.685,3.86354,5.51262,1146.07,738.112,0.5024,17.124,17.124,14.724,90,90,90
HETZUC_charged-(id_177274),4000000,0.00349069,38.92821094,74.8878,77.6546,80.6252,82.0071,85.9212,86.2668,88.7221,94.2746,97.8133,0.436982,4.27567,32.869,69.5133,92.7232,106.678,116.547,119.321,119.959,121.415,121.325,121.6,121.797,121.589,121.836,121.874,121.64,121.552,121.576,122.031,121.827,121.887,122.268,121.758,121.988,122.182,122.197,122.197,122.044,3.80214,5.49154,679.482,398.112,0.4578,14.754,17.038,17.038,90,90,90
HEWFUL_ion_b-(id_177275),4000000,0.0032449,36.23073732,29.014,38.598,53.1282,62.0793,63.2196,65.0529,65.9589,65.9067,65.9677,0.29067,2.8923,17.6989,33.1904,60.6343,65.825,68.0043,69.5017,70.3829,70.2627,71.3421,71.4346,72.7217,72.5206,73.0143,72.5624,72.4883,73.3708,73.697,73.7791,74.1584,73.4955,74.2544,73.734,74.3384,74.5249,74.5369,74.8486,75.0458,4.94247,5.58258,467.165,280.425,0.3124,16.6939,16.6939,16.6939,117.0605,117.0605,117.0605
HEXNII_clean-(id_177276),4000000,0.0177326,45.2245259,56.0665,56.0669,56.8453,56.0665,56.0761,57.9183,58.4922,60.4266,61.7742,43.742,54.9945,55.94,56.2223,56.6397,61.4942,66.3361,69.2307,68.7229,70.9066,70.7304,69.6386,70.2631,70.739,70.9444,71.8624,71.9017,72.8207,73.3832,72.2893,71.6406,72.3984,72.9665,75.4166,76.8415,76.6548,78.2205,76.9626,74.5674,4.1234,4.82402,643.637,410.671,0.4306,7.6396,10.1725,12.1168,114.82,96.9017,90
HEZPIL01_clean-(id_177284),4000000,0.00142781,33.2302034,146.032,167.955,173.705,177.82,178.007,178.408,178.463,178.464,178.638,0.0182182,0.190361,1.93943,26.311,171.91,179.978,184.031,186.65,187.588,188.292,191.175,190.353,191.267,192.82,191.049,192.434,190.62,193.257,192.036,194.543,192.699,194.65,194.362,194.813,196.463,195.494,195.952,195.695,193.77,3.8726,4.55228,1184.67,717.327,0.5308,10.464,17.142,8.4481,90,90,90
HIBGEF_clean-(id_177288),4000000,0.00126795,39.73113178,68.7532,78.8179,91.839,101.189,109.591,116.581,124.583,128.607,128.708,1.02946,10.5112,51.2256,69.5502,91.0115,119.231,129.004,129.781,130.501,130.211,130.641,130.449,130.579,130.601,130.686,130.556,130.519,130.671,130.657,130.592,130.686,130.627,130.666,130.686,130.628,130.592,130.686,130.626,130.672,3.60956,4.68206,703.501,495.576,0.4404,9.853,11.315,14.4,91.32,90,90
HIBGIJ_clean-(id_177289),4000000,0.000345177,34.99085896,56.6377,67.4681,76.7002,86.4667,91.7232,99.2951,102.836,103.067,103.072,0.0626544,0.661331,6.28004,39.737,71.0964,96.3286,101.925,102.711,102.79,102.961,102.939,103.031,103,103.014,102.933,103.065,103.057,103.067,103.031,103.071,103.02,102.986,103.028,103.031,103.062,103.072,103.063,103.042,103.072,3.80435,4.81263,798.009,480.911,0.4498,10.165,11.624,14.738,91.402,90,90
HICGEG_clean-(id_177291),4000000,0.00495268,33.93936304,223.882,242.52,256.129,261.94,268.22,270.179,275.407,281.575,286.806,0.44441,4.35386,32.8476,146.068,257.788,286.524,313.8,318.306,325.796,331.182,336.445,340.947,344.463,342.794,340.697,342.3,344.439,346.745,346.212,349.596,351.111,347.552,348.721,349.738,350.284,349.766,352.785,354.294,353.4,4.98345,7.22417,1756.83,1659.47,0.6354,37.241,19.217,25.547,90,132.41,90
HICVOG_clean-(id_177292),4000000,0.0766182,44.77252861,158.443,159.279,159.371,159.888,159.905,161.707,166.561,171.144,176.257,18.1786,102.558,144.083,159.948,178.378,206.197,215.669,216.125,217.825,218.827,219.297,219.138,219.043,219.529,219.29,219.008,219.114,219.3,219.29,219.292,219.629,219.012,219.841,220.422,219.7,219.301,219.853,219.253,219.301,4.34338,4.78823,1202.69,957.206,0.553,10.814,10.814,25.41,90,90,90
HICVUM_clean-(id_177293),4000000,0.0454896,39.00300724,145.857,154.67,161.502,168.588,172.764,176.118,179.727,186.712,194.419,1.16369,10.8224,81.0881,162.193,177.684,201.666,219.501,222.062,223.552,225.082,226.488,228.515,228.42,228.651,228.278,229.538,231.22,232.101,234.22,233.999,231.9,233.829,233.428,234.99,236.458,237.225,236.182,234.275,235.576,4.18424,5.70734,1533.97,1105.72,0.5594,12.7213,12.7213,20.709,84.16,84.16,70.8696
HICZAW_clean-(id_177295),4000000,0.124481,49.70539246,90.3138,92.0085,92.9559,93.4221,93.6444,93.6444,93.6444,93.6444,93.6444,68.676,88.2186,92.2428,93.5818,94.1769,95.8028,102.655,108.468,111.42,114.761,119.195,123.408,125.051,123.22,125.361,125.165,126.949,127.516,127.688,126.423,128.45,128.806,127.915,129.13,127.676,129.07,130.721,130.358,129.237,4.0094,4.79099,629.232,376.812,0.4496,14.6026,16.6301,16.6617,90,90,90
HICZEA_clean-(id_177296),4000000,0.148295,48.82607146,93.5055,94.8177,96.1875,96.1875,96.8948,96.908,97.602,97.602,97.602,73.0695,90.4043,95.2015,96.5184,101.111,111.516,128.297,133.453,133.409,135.263,135.121,135.017,134.563,135.394,135.572,136.161,135.605,135.321,136.04,136.068,136.543,135.78,135.481,135.097,135.979,135.85,136.228,136.391,135.671,4.09471,4.83695,796.791,499.09,0.4516,14.665,16.7949,16.7292,90,90,90
HICZIE_clean-(id_177297),4000000,0.050514,48.5971338,91.116,91.7447,92.4294,93.114,93.114,93.114,93.114,93.114,93.114,78.3443,88.4182,91.3798,93.1764,93.9548,96.7119,100.08,104.673,111.18,118.904,117.87,124.244,122.209,124.269,126.114,126.289,127.187,128.72,127.973,129.19,128.029,128.684,128.082,126.102,126.838,127.717,129.726,130.88,129.516,3.88223,4.75635,588.983,346.25,0.4418,14.6484,16.4358,16.5923,90,90,90
