name,pressure_Pa_from_file2,propylene_Henry_from_file2,|Qst(propylene)|_from_file2,N2_1,N2_4,N2_18,N2_75,N2_316,N2_1334,N2_5623,N2_23714,N2_100000,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction
HUNCIE_clean-(id_177501),4000000,5.84E-05,12.63463825,2.58419,10.5748,45.3065,167.733,477.433,820.435,1137.4,1877.33,1997.59,0.000396653,0.00575147,0.047995,0.484313,4.85781,48.9182,567.82,829.546,1074.68,1227.2,1343.04,1420.13,1491.44,1560.44,1608.27,2192.94,2211.37,2229.95,2252.99,2257.6,2266.21,2280.82,2300.49,2314.99,2338.01,2345.15,2361.77,2348.04,2354.21,20.3927,23.8524,1592.86,5473.82,0.8752
HUYKIV_clean-(id_177547),4000000,1.37E-05,8.92337056,21.7325,21.9383,22.8654,26.6012,45.7233,208.053,622.696,713.364,753.819,18.0157,21.3956,21.5371,21.6828,21.8984,23.8616,46.8754,81.4427,248.531,377.288,772.012,783.595,798.432,803.714,813.516,818.587,824.96,829.431,837.938,843.756,841.422,849.596,849.158,860.251,867.268,874.224,870.168,880.847,878.096,13.6804,13.8998,1246.53,2147.93,0.7586
ic101935f_si_002_auto-(id_185088),4000000,4.47E-05,12.26104087,1.331011717,5.137933364,20.65799824,68.02748641,235.8166123,1012.796051,1213.261305,1295.942528,1359.320178,0,0.0036022,0.0255156,0.271666,2.63891,25.8755,238.87,1207.93,1411.64,1468.52,1490.09,1508.37,1503.18,1526.38,1532.74,1543.05,1544.29,1549.65,1557.32,1563.52,1579.3,1578.53,1584.52,1601.17,1611.34,1603.99,1615.6,1611.25,1607.8,8.78691,13.5278,2079.05,5095.35,0.8498
ic800131r-file003_clean-(id_177688),4000000,5.29E-05,11.5417615,1.59327,6.60877,33.0333,156.044,681.177,1080.38,1184.9,1234.91,1277.97,0.000276946,0.00346183,0.0332335,0.354214,3.53134,37.8412,1042.18,1270.46,1344.85,1370.7,1395.87,1405.6,1423.57,1433.73,1439.64,1447.15,1449.12,1458.76,1465.58,1471.52,1474.39,1470.27,1496.62,1497.74,1513.19,1521.21,1537.66,1521.76,1522.58,9.58722,12.9498,1982.69,4749.95,0.8202
ICAQIO_clean-(id_177695),4000000,7.75E-05,13.16679689,5.89949,22.9277,93.4604,429.453,797.618,953.253,1235.74,1319.93,1352.51,0.000874257,0.0101997,0.106659,1.1039,10.9501,108.144,993.869,1131.05,1350,1455.63,1460.43,1475.08,1494.38,1498.44,1511.9,1514.08,1522.03,1533.64,1530.54,1537.37,1553.41,1540.44,1552.31,1564.56,1577.39,1569.77,1598.5,1587.07,1583.53,7.95732,20.3911,1914.78,4745.53,0.8268
ICAQOU_clean-(id_177696),4000000,7.84E-05,13.27611132,6.53879,24.227,95.8746,411.11,771.611,926.194,1211.22,1274.29,1319.37,0.000288307,0.0109557,0.109845,1.1564,10.9444,109.779,976.956,1103.76,1323.03,1409.78,1425.38,1437.34,1450.97,1457.91,1467.3,1466.54,1476.61,1494.74,1480.41,1496.97,1507.58,1505.24,1505.75,1508.71,1519.42,1520.27,1529.94,1534.49,1544.45,7.90669,20.2997,1915.83,4635.5,0.824
ICAROV_clean-(id_177698),4000000,7.91E-05,13.27750962,6.49588,25.016,99.9884,420.495,780.203,937.882,1226.58,1299.34,1330.22,0.000583166,0.00933065,0.104095,1.10277,11.1484,110.868,983.575,1117.16,1330.68,1422.37,1459.73,1459.58,1477.26,1476.14,1489.54,1493.62,1510.41,1511.52,1523.3,1519.95,1518.03,1525.1,1537.87,1541.98,1547.96,1555.51,1555.76,1561.53,1555.48,7.92146,20.3334,1928.4,4743.67,0.8236
IDEYOF_clean-(id_177723),4000000,8.58E-05,13.09927986,10.3944,41.3057,145.78,414.827,982.908,1085.74,1133.87,1176.19,1204.64,0.00176181,0.0172406,0.17077,1.69184,17.0652,154.275,1213.28,1271.7,1313.6,1332.45,1353.14,1355.99,1367.3,1378.14,1388.33,1378.76,1396.33,1420.8,1423.34,1426.69,1432.51,1440.17,1448.59,1448.27,1452.71,1464.84,1460.77,1469.72,1464.39,6.17304,10.0315,2478.11,5779.04,0.8074
INIDAL_clean-(id_177914),4000000,9.98954,59.42244852,108.272,114.245,116.631,120.226,123.376,124.634,125.055,125.492,125.937,116.361,125.673,126.207,126.264,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.453,126.376,126.376,126.376,126.376,126.376,126.741,126.814,3.74534,4.50397,849.004,360.45,0.4596
IRAHUF_clean-(id_177963),4000000,6.72462,59.66233516,103.587,109.569,113.39,115.294,118.151,119.092,120.315,122.827,124.182,97.5136,120.549,125.578,126.325,126.366,126.376,126.376,126.376,126.376,126.377,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,126.376,3.65968,4.40761,766.685,322.478,0.4662
IYOWID_manual-(id_178130),4000000,6.89E-05,13.04647853,5.26484,20.6523,80.5871,259.036,737.373,919.727,1203.81,1280.48,1319.71,0.00172241,0.00832499,0.0915749,0.998999,9.69115,91.3582,948.925,1071.38,1271.68,1392.34,1421.78,1448.65,1461.31,1462.29,1461.88,1473.14,1477.71,1493.79,1502.58,1500.63,1502.38,1517.51,1507.94,1527.07,1531.82,1543.13,1546.11,1551,1550.79,7.7477,20.5167,1929.7,4763.89,0.822
IZOWAW_clean-(id_178164),4000000,7.40E-06,9.055215335,0.663929,2.97359,5.01133,9.44295,18.3808,57.8299,163.199,458.361,496.364,0.0157978,0.102085,1.09449,4.4306,8.00574,10.8819,22.213,36.0628,68.2154,103.628,136.43,166.173,192.665,223.622,524.74,532.357,539.748,550.681,557.155,560.238,561.422,564.977,568.943,576.96,582.944,587.556,590.964,591.776,593.638,10.5132,18.9473,1791.35,1780.61,0.7888
ja0660047si20060818_060458_clean-(id_178185),4000000,0.0168685,33.97481903,312.236,326.758,333.341,335.747,336.785,336.802,336.854,338.369,338.369,132.085,319.77,336.82,338.229,338.353,338.368,338.369,338.369,338.369,338.369,338.369,338.39,338.369,338.369,338.38,338.369,338.369,338.369,338.369,338.369,338.369,338.369,338.369,338.369,338.369,338.369,338.762,338.369,338.369,3.94503,6.58402,1971.57,1955.64,0.578
ja4050828_auto-(id_185395),4000000,0.000155021,19.68720999,54.21811063,85.70842393,131.1972594,238.1105915,330.9220109,412.1165574,513.8816848,654.0709367,1020.112244,0.00504344,0.0528415,0.546755,5.72912,67.7673,159.1,369.343,429.945,491.246,528.769,560.395,584.075,606.686,624.576,640.724,661.011,682.053,718.796,757.2,778.243,819.929,1177.41,1186.71,1201.16,1204.51,1218.77,1229.05,1225.26,1223.17,28.7488,29.2834,1535.79,3142.23,0.8256
ja408959g_si_002_clean-(id_178233),4000000,0.000154793,18.81937243,29.5422,69.6919,162.073,302.982,415.265,520.397,615.81,761.074,1166.08,0.00401929,0.0458199,0.420762,4.10426,30.9376,197.492,484.302,556.828,634.021,667.895,699.487,719.097,738.584,747.618,774.174,795.104,815.602,865.205,906.388,936.183,972,1029.93,1362.95,1377.91,1388.02,1393.49,1393.15,1401.69,1408.82,30.385,31.0724,1502.5,3407.47,0.8264
ja500330a_si_007_auto-(id_185791),4000000,2.42E-06,4.754108101,6.353865281,7.843592224,8.631924049,8.890287304,10.15576355,15.60312641,45.53584261,525.1150695,572.3814423,0.00187115,0.019935,0.193449,1.68123,6.13811,8.49274,10.9563,13.6162,18.8906,24.3762,31.0104,37.8503,46.7163,56.2997,67.0191,79.477,91.1075,124.528,563.951,634.298,641.612,649.228,658.317,664.546,678.109,677.642,684.374,683.03,688.17,14.4876,19.4624,1339.02,1676.1,0.7758
ja507269n_si_002_clean-(id_178250),4000000,0.000127028,20.1320269,22.2956,45.7322,101.517,213.684,365.501,527.731,672.85,995.439,1480.56,0.00578144,0.0423972,0.484678,4.03448,24.7867,108.917,390.06,517.077,641.273,694.064,737.997,775.51,807.355,847.163,898.238,951.479,1012.61,1109.18,1672.61,1697.55,1695.17,1711.26,1722.54,1746.62,1755.26,1771.36,1777.84,1777.45,1785.85,23.1844,27.3395,1494.97,4167.13,0.865
ja507269n_si_003_clean-(id_178251),4000000,0.000146326,19.69544516,26.9025,54.5474,128.186,254.094,425.131,600.822,731.407,1072.59,1604.22,0.00773415,0.0531078,0.518188,4.872,28.8471,131.918,472.98,604.297,709.911,774.128,815.315,855.054,886.564,931.69,967.206,1030.06,1080.74,1234.86,1827.8,1825.91,1829.91,1841.88,1845.92,1871.89,1901.87,1918.2,1926.7,1908.59,1909.27,25.5491,27.2094,1450.85,4279.41,0.869
ja5103103_si_002_auto-(id_185356),4000000,6.04E-05,16.71943715,16.89823675,39.04200343,131.086158,195.2690751,284.677573,421.6792811,561.8619301,989.0205336,1043.941458,0.00357135,0.0468631,0.446767,3.88345,20.4112,157.546,351.488,436.781,518.697,571.666,623.409,678.944,1140.88,1146.17,1156.3,1165.29,1178.94,1186.85,1193.65,1199.45,1205.62,1214.64,1218.6,1227.51,1234.52,1246.86,1242.93,1249.42,1249.72,14.4517,16.9503,1609.85,3206.61,0.8216
